interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,as_type,mcpc
2025-12-15T01:10:00-06:00,2025-12-15 07:10:00+00:00,2025-12-15T01:15:00-06:00,2025-12-15 07:15:00+00:00,ECRS,2.02
2025-12-15T01:10:00-06:00,2025-12-15 07:10:00+00:00,2025-12-15T01:15:00-06:00,2025-12-15 07:15:00+00:00,NSPIN,8.08
2025-12-15T01:10:00-06:00,2025-12-15 07:10:00+00:00,2025-12-15T01:15:00-06:00,2025-12-15 07:15:00+00:00,REGDN,0
2025-12-15T01:10:00-06:00,2025-12-15 07:10:00+00:00,2025-12-15T01:15:00-06:00,2025-12-15 07:15:00+00:00,REGUP,3.11
2025-12-15T01:10:00-06:00,2025-12-15 07:10:00+00:00,2025-12-15T01:15:00-06:00,2025-12-15 07:15:00+00:00,RRS,1.01
2025-12-15T01:15:00-06:00,2025-12-15 07:15:00+00:00,2025-12-15T01:20:00-06:00,2025-12-15 07:20:00+00:00,ECRS,2.13
2025-12-15T01:15:00-06:00,2025-12-15 07:15:00+00:00,2025-12-15T01:20:00-06:00,2025-12-15 07:20:00+00:00,NSPIN,8.51
2025-12-15T01:15:00-06:00,2025-12-15 07:15:00+00:00,2025-12-15T01:20:00-06:00,2025-12-15 07:20:00+00:00,REGDN,0
2025-12-15T01:15:00-06:00,2025-12-15 07:15:00+00:00,2025-12-15T01:20:00-06:00,2025-12-15 07:20:00+00:00,REGUP,1.86
2025-12-15T01:15:00-06:00,2025-12-15 07:15:00+00:00,2025-12-15T01:20:00-06:00,2025-12-15 07:20:00+00:00,RRS,1.06
2025-12-15T01:20:00-06:00,2025-12-15 07:20:00+00:00,2025-12-15T01:25:00-06:00,2025-12-15 07:25:00+00:00,ECRS,2
2025-12-15T01:20:00-06:00,2025-12-15 07:20:00+00:00,2025-12-15T01:25:00-06:00,2025-12-15 07:25:00+00:00,NSPIN,8
2025-12-15T01:20:00-06:00,2025-12-15 07:20:00+00:00,2025-12-15T01:25:00-06:00,2025-12-15 07:25:00+00:00,REGDN,0.1
2025-12-15T01:20:00-06:00,2025-12-15 07:20:00+00:00,2025-12-15T01:25:00-06:00,2025-12-15 07:25:00+00:00,REGUP,2.95
2025-12-15T01:20:00-06:00,2025-12-15 07:20:00+00:00,2025-12-15T01:25:00-06:00,2025-12-15 07:25:00+00:00,RRS,1
2025-12-15T01:25:00-06:00,2025-12-15 07:25:00+00:00,2025-12-15T01:30:00-06:00,2025-12-15 07:30:00+00:00,ECRS,2
2025-12-15T01:25:00-06:00,2025-12-15 07:25:00+00:00,2025-12-15T01:30:00-06:00,2025-12-15 07:30:00+00:00,NSPIN,8
